═════════════════════════════════════════════════════════════════
PHASE 4: xArm5 REACHABILITY MAP
═════════════════════════════════════════════════════════════════
Date: 2026-04-12
Solver: TRAC-IK (solve_type: Distance)
Orientation: tool-down (roll=180, pitch=0, yaw=0)
Collision checking: enabled (mounting table in scene)
Grid: X=[100,500] Y=[-400,400] Z=[0,500] step=50mm
Total: 1683 poses, 1638 reachable (97.3%)

REACHABLE ENVELOPE:
  X: 100 to 500 mm
  Y: -400 to 400 mm
  Z: 0 to 500 mm

PER Z-LAYER:
  z=   0mm:  145 pts, x=[100,500] y=[-400,400]
  z=  50mm:  145 pts, x=[100,500] y=[-400,400]
  z= 100mm:  145 pts, x=[100,500] y=[-400,400]
  z= 150mm:  145 pts, x=[100,500] y=[-400,400]
  z= 200mm:  145 pts, x=[100,500] y=[-400,400]
  z= 250mm:  150 pts, x=[100,500] y=[-400,400]
  z= 300mm:  153 pts, x=[100,500] y=[-400,400]
  z= 350mm:  153 pts, x=[100,500] y=[-400,400]
  z= 400mm:  153 pts, x=[100,500] y=[-400,400]
  z= 450mm:  153 pts, x=[100,500] y=[-400,400]
  z= 500mm:  151 pts, x=[100,500] y=[-400,400]

RAW DATA (x_mm, y_mm, z_mm, reachable):
   100, -400,    0, YES
   100, -400,   50, YES
   100, -400,  100, YES
   100, -400,  150, YES
   100, -400,  200, YES
   100, -400,  250, YES
   100, -400,  300, YES
   100, -400,  350, YES
   100, -400,  400, YES
   100, -400,  450, YES
   100, -400,  500, YES
   100, -350,    0, YES
   100, -350,   50, YES
   100, -350,  100, YES
   100, -350,  150, YES
   100, -350,  200, YES
   100, -350,  250, YES
   100, -350,  300, YES
   100, -350,  350, YES
   100, -350,  400, YES
   100, -350,  450, YES
   100, -350,  500, YES
   100, -300,    0, YES
   100, -300,   50, YES
   100, -300,  100, YES
   100, -300,  150, YES
   100, -300,  200, YES
   100, -300,  250, YES
   100, -300,  300, YES
   100, -300,  350, YES
   100, -300,  400, YES
   100, -300,  450, YES
   100, -300,  500, YES
   100, -250,    0, YES
   100, -250,   50, YES
   100, -250,  100, YES
   100, -250,  150, YES
   100, -250,  200, YES
   100, -250,  250, YES
   100, -250,  300, YES
   100, -250,  350, YES
   100, -250,  400, YES
   100, -250,  450, YES
   100, -250,  500, YES
   100, -200,    0, YES
   100, -200,   50, YES
   100, -200,  100, YES
   100, -200,  150, YES
   100, -200,  200, YES
   100, -200,  250, YES
   100, -200,  300, YES
   100, -200,  350, YES
   100, -200,  400, YES
   100, -200,  450, YES
   100, -200,  500, YES
   100, -150,    0, YES
   100, -150,   50, YES
   100, -150,  100, YES
   100, -150,  150, YES
   100, -150,  200, YES
   100, -150,  250, YES
   100, -150,  300, YES
   100, -150,  350, YES
   100, -150,  400, YES
   100, -150,  450, YES
   100, -150,  500, YES
   100, -100,    0, NO
   100, -100,   50, NO
   100, -100,  100, NO
   100, -100,  150, NO
   100, -100,  200, NO
   100, -100,  250, YES
   100, -100,  300, YES
   100, -100,  350, YES
   100, -100,  400, YES
   100, -100,  450, YES
   100, -100,  500, YES
   100,  -50,    0, NO
   100,  -50,   50, NO
   100,  -50,  100, NO
   100,  -50,  150, NO
   100,  -50,  200, NO
   100,  -50,  250, NO
   100,  -50,  300, YES
   100,  -50,  350, YES
   100,  -50,  400, YES
   100,  -50,  450, YES
   100,  -50,  500, YES
   100,    0,    0, NO
   100,    0,   50, NO
   100,    0,  100, NO
   100,    0,  150, NO
   100,    0,  200, NO
   100,    0,  250, NO
   100,    0,  300, YES
   100,    0,  350, YES
   100,    0,  400, YES
   100,    0,  450, YES
   100,    0,  500, YES
   100,   50,    0, NO
   100,   50,   50, NO
   100,   50,  100, NO
   100,   50,  150, NO
   100,   50,  200, NO
   100,   50,  250, NO
   100,   50,  300, YES
   100,   50,  350, YES
   100,   50,  400, YES
   100,   50,  450, YES
   100,   50,  500, YES
   100,  100,    0, NO
   100,  100,   50, NO
   100,  100,  100, NO
   100,  100,  150, NO
   100,  100,  200, NO
   100,  100,  250, YES
   100,  100,  300, YES
   100,  100,  350, YES
   100,  100,  400, YES
   100,  100,  450, YES
   100,  100,  500, YES
   100,  150,    0, YES
   100,  150,   50, YES
   100,  150,  100, YES
   100,  150,  150, YES
   100,  150,  200, YES
   100,  150,  250, YES
   100,  150,  300, YES
   100,  150,  350, YES
   100,  150,  400, YES
   100,  150,  450, YES
   100,  150,  500, YES
   100,  200,    0, YES
   100,  200,   50, YES
   100,  200,  100, YES
   100,  200,  150, YES
   100,  200,  200, YES
   100,  200,  250, YES
   100,  200,  300, YES
   100,  200,  350, YES
   100,  200,  400, YES
   100,  200,  450, YES
   100,  200,  500, YES
   100,  250,    0, YES
   100,  250,   50, YES
   100,  250,  100, YES
   100,  250,  150, YES
   100,  250,  200, YES
   100,  250,  250, YES
   100,  250,  300, YES
   100,  250,  350, YES
   100,  250,  400, YES
   100,  250,  450, YES
   100,  250,  500, YES
   100,  300,    0, YES
   100,  300,   50, YES
   100,  300,  100, YES
   100,  300,  150, YES
   100,  300,  200, YES
   100,  300,  250, YES
   100,  300,  300, YES
   100,  300,  350, YES
   100,  300,  400, YES
   100,  300,  450, YES
   100,  300,  500, YES
   100,  350,    0, YES
   100,  350,   50, YES
   100,  350,  100, YES
   100,  350,  150, YES
   100,  350,  200, YES
   100,  350,  250, YES
   100,  350,  300, YES
   100,  350,  350, YES
   100,  350,  400, YES
   100,  350,  450, YES
   100,  350,  500, YES
   100,  400,    0, YES
   100,  400,   50, YES
   100,  400,  100, YES
   100,  400,  150, YES
   100,  400,  200, YES
   100,  400,  250, YES
   100,  400,  300, YES
   100,  400,  350, YES
   100,  400,  400, YES
   100,  400,  450, YES
   100,  400,  500, YES
   150, -400,    0, YES
   150, -400,   50, YES
   150, -400,  100, YES
   150, -400,  150, YES
   150, -400,  200, YES
   150, -400,  250, YES
   150, -400,  300, YES
   150, -400,  350, YES
   150, -400,  400, YES
   150, -400,  450, YES
   150, -400,  500, YES
   150, -350,    0, YES
   150, -350,   50, YES
   150, -350,  100, YES
   150, -350,  150, YES
   150, -350,  200, YES
   150, -350,  250, YES
   150, -350,  300, YES
   150, -350,  350, YES
   150, -350,  400, YES
   150, -350,  450, YES
   150, -350,  500, YES
   150, -300,    0, YES
   150, -300,   50, YES
   150, -300,  100, YES
   150, -300,  150, YES
   150, -300,  200, YES
   150, -300,  250, YES
   150, -300,  300, YES
   150, -300,  350, YES
   150, -300,  400, YES
   150, -300,  450, YES
   150, -300,  500, YES
   150, -250,    0, YES
   150, -250,   50, YES
   150, -250,  100, YES
   150, -250,  150, YES
   150, -250,  200, YES
   150, -250,  250, YES
   150, -250,  300, YES
   150, -250,  350, YES
   150, -250,  400, YES
   150, -250,  450, YES
   150, -250,  500, YES
   150, -200,    0, YES
   150, -200,   50, YES
   150, -200,  100, YES
   150, -200,  150, YES
   150, -200,  200, YES
   150, -200,  250, YES
   150, -200,  300, YES
   150, -200,  350, YES
   150, -200,  400, YES
   150, -200,  450, YES
   150, -200,  500, YES
   150, -150,    0, YES
   150, -150,   50, YES
   150, -150,  100, YES
   150, -150,  150, YES
   150, -150,  200, YES
   150, -150,  250, YES
   150, -150,  300, YES
   150, -150,  350, YES
   150, -150,  400, YES
   150, -150,  450, YES
   150, -150,  500, YES
   150, -100,    0, YES
   150, -100,   50, YES
   150, -100,  100, YES
   150, -100,  150, YES
   150, -100,  200, YES
   150, -100,  250, YES
   150, -100,  300, YES
   150, -100,  350, YES
   150, -100,  400, YES
   150, -100,  450, YES
   150, -100,  500, YES
   150,  -50,    0, NO
   150,  -50,   50, NO
   150,  -50,  100, NO
   150,  -50,  150, NO
   150,  -50,  200, NO
   150,  -50,  250, YES
   150,  -50,  300, YES
   150,  -50,  350, YES
   150,  -50,  400, YES
   150,  -50,  450, YES
   150,  -50,  500, YES
   150,    0,    0, NO
   150,    0,   50, NO
   150,    0,  100, NO
   150,    0,  150, NO
   150,    0,  200, NO
   150,    0,  250, YES
   150,    0,  300, YES
   150,    0,  350, YES
   150,    0,  400, YES
   150,    0,  450, YES
   150,    0,  500, YES
   150,   50,    0, NO
   150,   50,   50, NO
   150,   50,  100, NO
   150,   50,  150, NO
   150,   50,  200, NO
   150,   50,  250, YES
   150,   50,  300, YES
   150,   50,  350, YES
   150,   50,  400, YES
   150,   50,  450, YES
   150,   50,  500, YES
   150,  100,    0, YES
   150,  100,   50, YES
   150,  100,  100, YES
   150,  100,  150, YES
   150,  100,  200, YES
   150,  100,  250, YES
   150,  100,  300, YES
   150,  100,  350, YES
   150,  100,  400, YES
   150,  100,  450, YES
   150,  100,  500, YES
   150,  150,    0, YES
   150,  150,   50, YES
   150,  150,  100, YES
   150,  150,  150, YES
   150,  150,  200, YES
   150,  150,  250, YES
   150,  150,  300, YES
   150,  150,  350, YES
   150,  150,  400, YES
   150,  150,  450, YES
   150,  150,  500, YES
